196502     -0.07436      0.34976     -0.18527     -0.21856     -0.98256      1.71555      0.26738      0.08940      0.31839      0.15087      0.17396
196503     -0.07139      0.35090     -0.18175     -0.22520     -0.97912      1.72677      0.26732      0.09007      0.31841      0.15038      0.17382
196504     -0.06919      0.35432     -0.17648     -0.21946     -0.97616      1.74659      0.26936      0.09098      0.31766      0.15052      0.17148
196601     -0.05444      0.35360     -0.17484     -0.21403     -0.97011      1.75094      0.26944      0.09182      0.31736      0.15078      0.17060
196602     -0.04642      0.36030     -0.16703     -0.21533     -0.96619      1.75872      0.26791      0.09136      0.31938      0.15193      0.16942
196603     -0.04674      0.35998     -0.16045     -0.21793     -0.95914      1.76312      0.26630      0.09183      0.32009      0.15241      0.16937
196604     -0.04726      0.36298     -0.15625     -0.21700     -0.95193      1.76391      0.26317      0.09076      0.32352      0.15230      0.17026
196701     -0.05567      0.37045     -0.15689     -0.21665     -0.94631      1.77169      0.26228      0.09065      0.32507      0.15156      0.17044
196702     -0.05978      0.37507     -0.15447     -0.21255     -0.94271      1.77838      0.25926      0.09085      0.32751      0.15188      0.17051
196703     -0.05649      0.37800     -0.15288     -0.20605     -0.93617      1.78260      0.25768      0.09078      0.32944      0.15085      0.17125
196704     -0.05520      0.38476     -0.14765     -0.20831     -0.93064      1.78634      0.25853      0.08994      0.32949      0.15006      0.17198
196801     -0.05012      0.39048     -0.13710     -0.20741     -0.92323      1.79924      0.25819      0.09119      0.32960      0.15074      0.17029
196802     -0.04883      0.39952     -0.13177     -0.20022     -0.91502      1.80896      0.25793      0.09155      0.33255      0.14923      0.16874
196803     -0.04936      0.40752     -0.12942     -0.20145     -0.90603      1.82031      0.25821      0.09228      0.33271      0.14878      0.16803
196804     -0.04507      0.41321     -0.12546     -0.20058     -0.89663      1.82314      0.25725      0.09130      0.33498      0.14744      0.16903
196901     -0.04737      0.41702     -0.12327     -0.20243     -0.88702      1.83020      0.25610      0.09175      0.33555      0.14741      0.16919
196902     -0.04189      0.42032     -0.11665     -0.19691     -0.87780      1.83568      0.25508      0.09121      0.33662      0.14768      0.16940
196903     -0.03585      0.42238     -0.11618     -0.19969     -0.86679      1.83959      0.25431      0.09103      0.33759      0.14701      0.17006
196904     -0.02917      0.42359     -0.11337     -0.20625     -0.85617      1.84664      0.25488      0.08963      0.33959      0.14573      0.17017
197001     -0.01846      0.42509     -0.10250     -0.20357     -0.84949      1.85435      0.25750      0.08725      0.34050      0.14561      0.16914
197002     -0.01890      0.42189     -0.09711     -0.19760     -0.83926      1.85507      0.25766      0.08625      0.34172      0.14515      0.16922
197003     -0.02450      0.42210     -0.09373     -0.20127     -0.82826      1.86120      0.25630      0.08532      0.34430      0.14470      0.16938
