     1.80567      6.41147
     1.80578      6.41148
     1.80574      6.41148
     1.80574      6.41147
     1.80573      6.41147
     1.80567      6.41148
     1.80565      6.41151
     1.80559      6.41143
     1.80561      6.41145
     1.80559      6.41142
     1.80558      6.41137
     1.80554      6.41134
     1.80561      6.41130
     1.80571      6.41130
     1.80569      6.41132
     1.80563      6.41132
     1.80563      6.41131
     1.80563      6.41132
     1.80565      6.41131
     1.80571      6.41133
     1.80567      6.41130
     1.80548      6.41131
     1.80537      6.41131
     1.80541      6.41120
     1.80544      6.41109
     1.80528      6.41107
     1.80541      6.41109
     1.80541      6.41108
     1.80541      6.41107
     1.80541      6.41105
     1.80539      6.41105
     1.80535      6.41107
     1.80531      6.41108
     1.80531      6.41107
     1.80533      6.41108
     1.80537      6.41105
     1.80537      6.41106
     1.80537      6.41108
     1.80533      6.41109
     1.80524      6.41106
     1.80526      6.41107
     1.80526      6.41102
     1.80513      6.41097
     1.80522      6.41095
     1.80531      6.41091
     1.80531      6.41092
     1.80531      6.41091
     1.80533      6.41092
     1.80535      6.41098
     1.80541      6.41102
     1.80546      6.41101
     1.80548      6.41103
     1.80554      6.41108
     1.80552      6.41111
     1.80548      6.41113
     1.80550      6.41115
     1.80554      6.41120
     1.80552      6.41117
     1.80552      6.41118
     1.80559      6.41119
     1.80563      6.41119
     1.80574      6.41121
     1.80576      6.41126
     1.80571      6.41128
     1.80574      6.41132
     1.80569      6.41136
     1.80567      6.41132
     1.80573      6.41135
     1.80574      6.41135
     1.80574      6.41135
     1.80571      6.41135
     1.80567      6.41135
     1.80574      6.41140
     1.80561      6.41135
     1.80561      6.41136
     1.80559      6.41135
     1.80567      6.41134
     1.80563      6.41133
     1.80563      6.41133
     1.80567      6.41136
     1.80565      6.41136
     1.80556      6.41133
     1.80558      6.41132
     1.80561      6.41134
     1.80561      6.41134
     1.80556      6.41132
     1.80559      6.41132
     1.80561      6.41129
     1.80561      6.41129
     1.80561      6.41129
     1.80559      6.41128
     1.80563      6.41128
     1.80559      6.41126
     1.80558      6.41126
     1.80558      6.41124
     1.80559      6.41126
     1.80561      6.41129
     1.80565      6.41132
     1.80565      6.41130
     1.80567      6.41134
     1.80571      6.41137
     1.80569      6.41138
     1.80567      6.41139
     1.80567      6.41138
     1.80565      6.41136
     1.80567      6.41138
     1.80561      6.41138
     1.80567      6.41134
     1.80563      6.41135
     1.80563      6.41137
     1.80565      6.41137
     1.80567      6.41135
     1.80563      6.41138
     1.80561      6.41139
     1.80561      6.41140
     1.80561      6.41137
     1.80563      6.41135
     1.80563      6.41133
     1.80563      6.41135
     1.80561      6.41135
     1.80563      6.41135
     1.80565      6.41138
     1.80567      6.41137
     1.80565      6.41135
     1.80565      6.41137
     1.80567      6.41136
     1.80565      6.41133
     1.80571      6.41135
     1.80571      6.41135
     1.80565      6.41134
     1.80569      6.41136
     1.80573      6.41137
     1.80571      6.41135
     1.80571      6.41136
     1.80571      6.41134
     1.80573      6.41135
