R1	R2	R3	R6	R12	R24	R36	R60	R120
1.332	1.537	1.62	1.715	1.789	1.884	1.972	2.141	2.492
1.342	1.56	1.648	1.754	1.848	1.973	2.082	2.276	2.637
1.374	1.524	1.59	1.678	1.77	1.902	2.01	2.184	2.52
1.579	1.681	1.723	1.772	1.812	1.873	1.94	2.096	2.435
1.642	1.75	1.792	1.843	1.886	1.946	2.004	2.124	2.394
1.747	1.804	1.833	1.882	1.949	2.053	2.133	2.237	2.424
1.802	1.857	1.887	1.939	2.013	2.128	2.217	2.323	2.474
1.712	1.85	1.912	1.996	2.086	2.21	2.301	2.411	2.561
1.459	1.698	1.808	1.937	2.042	2.168	2.268	2.427	2.703
1.589	1.748	1.822	1.916	2.006	2.126	2.216	2.339	2.542
1.781	1.923	1.989	2.068	2.134	2.213	2.271	2.351	2.522
1.941	2.017	2.055	2.107	2.163	2.242	2.3	2.379	2.559
1.819	1.925	1.971	2.031	2.093	2.183	2.261	2.398	2.657
2.019	2.108	2.145	2.185	2.215	2.259	2.311	2.44	2.73
1.987	2.014	2.033	2.071	2.132	2.239	2.333	2.484	2.759
2.062	2.228	2.301	2.387	2.459	2.55	2.626	2.761	3.003
1.935	2.225	2.352	2.504	2.633	2.791	2.912	3.087	3.307
1.606	1.888	2.035	2.203	2.334	2.482	2.594	2.763	3.008
1.936	2.063	2.123	2.208	2.306	2.451	2.569	2.744	2.99
1.79	1.894	1.951	2.057	2.209	2.452	2.637	2.858	3.091
1.22	1.461	1.592	1.767	1.946	2.179	2.336	2.489	2.648
0.975	1.193	1.313	1.49	1.696	1.99	2.2	2.435	2.706
1.439	1.495	1.534	1.618	1.755	1.984	2.164	2.405	2.753
1.248	1.354	1.416	1.523	1.665	1.878	2.03	2.208	2.483
0.958	0.92	0.925	1.003	1.193	1.53	1.781	2.087	2.49
0.887	0.92	0.945	1.006	1.119	1.341	1.563	1.978	2.468
0.985	0.987	0.996	1.039	1.136	1.339	1.545	1.932	2.422
0.673	0.713	0.746	0.833	0.986	1.228	1.417	1.77	2.341
0.603	0.657	0.694	0.786	0.957	1.284	1.584	2.032	2.512
0.62	0.604	0.615	0.685	0.847	1.149	1.412	1.854	2.431
0.679	0.71	0.731	0.786	0.896	1.158	1.441	1.891	2.39
1.107	0.999	0.96	0.957	1.038	1.254	1.486	1.914	2.459
0.903	0.92	0.945	1.031	1.196	1.455	1.638	1.982	2.462
0.845	0.93	0.983	1.09	1.261	1.55	1.787	2.118	2.44
0.929	0.983	1.021	1.105	1.252	1.531	1.789	2.136	2.495
0.949	0.978	1.009	1.104	1.286	1.614	1.883	2.21	2.505
1.097	1.072	1.094	1.217	1.473	1.846	2.049	2.294	2.651
1.139	1.288	1.378	1.559	1.821	2.162	2.316	2.47	2.713
1.328	1.347	1.385	1.521	1.776	2.128	2.296	2.469	2.7
1.496	1.55	1.599	1.731	1.953	2.249	2.384	2.529	2.764
1.152	1.323	1.43	1.619	1.869	2.185	2.351	2.533	2.731
1.271	1.431	1.529	1.71	1.96	2.286	2.466	2.662	2.858
1.667	1.754	1.817	1.963	2.191	2.494	2.658	2.832	2.987
1.948	2.039	2.101	2.228	2.415	2.659	2.783	2.895	2.957
2.145	2.14	2.147	2.186	2.278	2.46	2.617	2.787	2.888
2.052	2.075	2.1	2.177	2.312	2.498	2.597	2.702	2.805
2.111	2.307	2.408	2.549	2.689	2.809	2.834	2.849	2.892
2.424	2.486	2.527	2.613	2.732	2.842	2.865	2.883	2.922
2.278	2.308	2.329	2.375	2.447	2.556	2.635	2.725	2.815
1.969	2.179	2.277	2.413	2.546	2.665	2.712	2.765	2.838
2.198	2.262	2.322	2.481	2.732	2.983	3.037	3.062	3.073
2.628	2.657	2.697	2.826	3.039	3.228	3.207	3.128	3.058
2.374	2.534	2.619	2.741	2.862	2.949	2.958	2.939	2.893
2.333	2.399	2.446	2.547	2.693	2.849	2.921	2.973	2.967
2.082	2.238	2.352	2.599	2.935	3.202	3.265	3.274	3.189
2.396	2.577	2.691	2.928	3.237	3.475	3.537	3.538	3.405
2.7	2.84	2.93	3.107	3.335	3.507	3.492	3.422	3.335
2.56	2.764	2.89	3.106	3.335	3.46	3.485	3.509	3.468
2.806	3.006	3.149	3.445	3.694	3.742	3.702	3.626	3.487
3.077	3.152	3.289	3.629	3.801	3.774	3.721	3.711	3.713
3.064	3.1	3.144	3.235	3.271	3.255	3.241	3.247	3.214
2.938	3.185	3.289	3.42	3.471	3.449	3.417	3.394	3.357
2.886	2.953	3.012	3.161	3.358	3.447	3.44	3.423	3.369
3.021	3.031	3.072	3.214	3.426	3.544	3.559	3.571	3.526
3.21	3.261	3.298	3.382	3.49	3.565	3.602	3.676	3.679
3.083	3.261	3.363	3.544	3.714	3.746	3.738	3.831	3.896
3.056	3.296	3.422	3.626	3.798	3.84	3.842	3.921	3.88
3.072	3.4	3.582	3.901	4.109	3.987	3.841	3.819	3.797
3.228	3.529	3.698	3.954	4.188	4.209	4.099	3.996	4.011
3.361	3.541	3.65	3.83	4.009	4.053	4.006	3.949	3.914
2.635	3.007	3.192	3.373	3.456	3.485	3.477	3.416	3.344
2.728	2.768	2.785	2.788	2.772	2.767	2.785	2.855	3.062
1.456	1.444	1.49	1.723	2.144	2.542	2.699	2.886	3.173
1.137	1.197	1.269	1.479	1.805	2.147	2.361	2.652	3.057
0.99	1.047	1.112	1.311	1.657	2.096	2.32	2.577	2.916
1.155	1.156	1.177	1.269	1.462	1.798	2.058	2.409	2.836
0.249	0.485	0.63	0.919	1.321	1.765	1.996	2.341	2.922
0.747	0.716	0.739	0.915	1.303	1.903	2.23	2.554	3.016
0.704	0.83	0.923	1.129	1.468	2.024	2.447	2.909	3.195
1.872	2.203	2.379	2.647	2.962	3.356	3.55	3.704	3.761
1.949	2.57	2.885	3.2	3.363	3.499	3.624	3.754	3.748
1.822	2.296	2.534	2.829	3.089	3.379	3.541	3.684	3.712
1.904	2.583	2.909	3.228	3.381	3.478	3.552	3.628	3.644
2.419	2.62	2.745	2.969	3.19	3.459	3.637	3.82	3.901
2.467	2.615	2.764	3.09	3.403	3.739	3.901	4.004	3.991
2.379	2.641	2.831	3.145	3.383	3.602	3.717	3.791	3.796
2.567	2.717	2.892	3.292	3.594	3.826	3.923	3.984	3.973
2.739	2.798	2.944	3.318	3.608	3.879	4.036	4.178	4.202
2.747	2.822	3.026	3.603	3.861	3.979	4.105	4.214	4.178
2.774	2.928	3.164	3.749	3.966	4.139	4.327	4.412	4.227
2.399	2.754	3.042	3.793	4.409	4.342	4.398	4.579	4.406
3.477	3.745	3.955	4.386	4.563	4.444	4.516	4.667	4.486
3.638	3.899	4.215	4.902	4.925	4.688	4.701	4.693	4.471
3.169	3.789	4.059	4.424	4.548	4.358	4.441	4.691	4.484
3.531	4.226	4.522	4.842	4.947	4.867	4.81	4.735	4.517
4.079	4.276	4.559	4.94	5.025	4.952	4.881	4.807	4.703
3.538	3.823	4.112	4.564	4.711	4.694	4.716	4.761	4.632
3.807	4.049	4.25	4.375	4.396	4.487	4.572	4.599	4.396
2.683	2.914	3.095	3.414	3.627	3.789	3.913	4.035	4.071
2.97	3.023	3.075	3.532	4.157	4.25	4.36	4.488	4.34
2.596	3.022	3.163	3.451	3.929	4.141	4.253	4.312	4.149
1.655	1.969	2.197	2.648	3.18	3.703	3.888	3.993	4.205
1.831	2.02	2.209	2.596	2.91	3.168	3.285	3.465	3.824
1.972	2.357	2.615	2.867	2.882	3.135	3.32	3.56	3.868
2.34	2.312	2.53	2.893	2.802	3.045	3.301	3.592	3.812
1.606	1.928	2.185	2.607	2.855	3.138	3.361	3.658	3.898
1.789	2.19	2.441	2.767	3.007	3.311	3.534	3.805	3.999
2.026	2.162	2.275	2.442	2.583	2.873	3.117	3.436	3.747
2.039	2.179	2.301	2.522	2.76	3.152	3.398	3.65	3.855
2.482	2.537	2.618	2.799	2.972	3.187	3.344	3.535	3.732
2.192	2.324	2.417	2.643	2.859	3.053	3.253	3.557	3.822
1.933	2.201	2.266	2.484	2.845	3.04	3.204	3.469	3.758
2.239	2.337	2.401	2.604	2.917	3.202	3.374	3.594	3.832
2.078	2.239	2.308	2.538	2.905	3.285	3.501	3.726	3.903
1.744	2.103	2.242	2.503	2.881	3.26	3.559	3.874	4.003
2.047	2.237	2.365	2.71	3.053	3.366	3.612	3.868	4.006
1.992	2.149	2.337	2.705	3	3.322	3.534	3.738	3.871
1.957	2.151	2.323	2.669	2.958	3.245	3.461	3.711	3.902
2.278	2.474	2.596	2.803	3.033	3.329	3.534	3.797	4.036
2.483	2.628	2.749	2.942	3.148	3.419	3.593	3.838	4.093
2.485	2.658	2.747	2.948	3.21	3.524	3.716	3.949	4.154
2.485	2.654	2.763	2.932	3.088	3.297	3.466	3.751	4.114
2.632	2.705	2.828	2.873	2.89	3.147	3.354	3.623	3.908
2.694	2.729	2.776	2.871	3	3.257	3.422	3.642	3.932
2.455	2.657	2.722	2.791	2.938	3.113	3.32	3.659	3.942
2.928	2.921	2.95	2.992	3.035	3.277	3.492	3.767	3.989
2.685	2.807	2.899	3.082	3.257	3.422	3.596	3.86	4.071
2.661	2.769	2.853	3.02	3.109	3.154	3.342	3.684	3.985
2.686	2.743	2.835	2.934	2.931	3.087	3.318	3.682	3.972
2.533	2.654	2.745	2.853	2.876	3.103	3.325	3.644	3.973
2.671	2.862	2.934	2.966	3.009	3.168	3.323	3.587	3.958
2.941	2.937	2.967	3	3.01	3.215	3.349	3.534	3.917
2.928	2.942	2.984	3.012	2.993	3.149	3.334	3.631	3.922
2.842	2.884	2.936	2.952	2.942	3.158	3.375	3.687	3.987
2.204	2.549	2.846	3.124	2.989	3.151	3.377	3.704	4.019
2.853	2.891	2.944	3.035	3.081	3.277	3.46	3.713	4.001
2.95	3.001	3.057	3.118	3.115	3.312	3.507	3.761	4.003
2.975	3.001	3.054	3.119	3.125	3.326	3.532	3.81	4.022
3.053	3.189	3.29	3.419	3.461	3.582	3.703	3.881	4.012
3.264	3.38	3.438	3.526	3.598	3.628	3.713	3.918	4.04
3.437	3.421	3.466	3.573	3.592	3.65	3.748	3.945	4.105
3.364	3.463	3.544	3.654	3.673	3.751	3.845	4.014	4.188
3.274	3.46	3.571	3.696	3.737	3.787	3.852	3.98	4.128
3.511	3.532	3.585	3.718	3.814	3.908	3.974	4.068	4.175
3.424	3.488	3.547	3.668	3.777	3.88	3.943	4.049	4.206
3.528	3.578	3.653	3.8	3.895	3.977	4.027	4.113	4.237
3.513	3.525	3.597	3.768	3.909	4.074	4.142	4.2	4.264
3.32	3.427	3.506	3.661	3.812	3.966	4.065	4.171	4.208
3.289	3.459	3.522	3.644	3.825	3.923	3.98	4.073	4.198
3.456	3.538	3.545	3.626	3.754	3.827	3.918	4.057	4.157
3.317	3.464	3.508	3.646	3.737	3.75	3.879	4.083	4.211
3.398	3.509	3.559	3.691	3.792	3.835	3.93	4.084	4.225
3.526	3.572	3.631	3.782	3.867	3.894	3.949	4.055	4.191
3.451	3.529	3.619	3.794	3.877	3.921	3.972	4.061	4.174
3.631	3.806	3.905	4.078	4.147	4.128	4.129	4.147	4.185
3.561	3.799	3.889	4.003	4	3.992	4.038	4.121	4.219
3.854	3.89	3.925	4.059	4.026	3.98	4.017	4.095	4.195
3.866	3.996	4.039	4.134	4.141	4.093	4.08	4.127	4.227
3.822	3.943	3.983	4.074	4.085	4.066	4.091	4.143	4.205
3.885	3.94	3.987	4.068	4.066	4.067	4.097	4.144	4.196
3.863	3.93	3.954	4.026	4.068	4.073	4.082	4.141	4.234
3.787	3.838	3.866	3.934	3.925	3.953	4.017	4.11	4.204
3.812	3.84	3.887	3.975	3.999	4.055	4.112	4.174	4.223
3.807	3.882	3.933	4.088	4.105	4.126	4.17	4.23	4.278
3.949	4.014	4.106	4.279	4.351	4.343	4.331	4.364	4.409
3.917	4.019	4.134	4.291	4.352	4.383	4.403	4.445	4.456
3.925	4.09	4.179	4.367	4.44	4.5	4.537	4.56	4.542
4.44	4.517	4.571	4.825	4.964	5.079	5.095	4.965	4.704
4.521	4.614	4.721	4.843	4.898	5.042	5.099	5.024	4.792
4.497	4.65	4.738	4.965	5.133	5.184	5.209	5.279	5.196
4.403	4.532	4.612	4.849	4.974	5.015	5.008	4.959	4.825
4.631	4.689	4.698	4.872	4.949	5.039	5.043	5.016	4.947
4.495	4.649	4.693	4.947	5.055	5.251	5.255	5.112	4.935
4.495	4.597	4.617	4.868	5.018	5.363	5.387	5.257	5.11
4.576	4.778	4.812	5.09	5.212	5.405	5.476	5.463	5.26
4.792	5.061	5.12	5.758	5.945	6.303	6.285	6.005	5.569
5.198	5.349	5.478	5.83	5.915	5.794	5.678	5.423	5.071
4.848	5.192	5.356	5.696	5.715	5.611	5.534	5.38	5.078
4.624	5.147	5.285	5.412	5.477	5.683	5.554	5.371	5.265
4.699	4.82	4.938	5.08	5.034	5.021	4.985	4.874	4.724
4.537	4.606	4.609	4.635	4.634	4.68	4.698	4.685	4.617
4.372	4.594	4.595	4.657	4.681	4.913	4.862	4.8	4.867
4.014	4.102	4.161	4.162	4.142	4.238	4.298	4.421	4.599
3.543	3.742	3.773	3.93	4.057	4.437	4.571	4.718	4.943
3.345	3.429	3.492	3.839	4.039	4.535	4.643	4.711	4.964
3.748	3.961	4.051	4.54	5.084	5.215	5.253	5.423	5.441
3.788	4.041	4.181	4.777	5.16	5.136	5.077	5.204	5.347
3.928	4.259	4.49	4.955	5.315	5.391	5.376	5.443	5.422
4.248	4.345	4.587	5.159	5.4	5.387	5.404	5.509	5.515
4.185	4.451	4.63	5.224	5.496	5.61	5.627	5.682	5.711
4.275	4.76	5.038	5.604	5.754	5.618	5.673	5.776	5.819
4.426	4.845	5.163	5.723	5.898	5.878	5.885	5.792	5.771
4.739	4.844	4.952	5.17	5.454	5.584	5.591	5.675	5.731
4.788	5.014	5.122	5.344	5.507	5.647	5.712	5.7	5.689
4.941	5.18	5.279	5.467	5.685	5.86	5.918	5.905	5.97
5.335	5.511	5.61	5.802	5.938	6.016	6.064	6.032	5.925
5.568	5.763	5.84	6.083	6.169	6.172	6.028	5.94	5.984
5.289	5.34	5.416	5.695	5.945	5.943	5.865	5.819	5.751
5.102	5.193	5.232	5.436	5.463	5.498	5.505	5.523	5.532
5.049	5.245	5.256	5.413	5.412	5.366	5.411	5.509	5.555
5.197	5.242	5.276	5.446	5.412	5.456	5.474	5.529	5.647
5.336	5.464	5.586	5.67	5.7	5.631	5.612	5.651	5.79
5.071	5.469	5.602	5.78	5.858	5.647	5.656	5.743	5.951
6.138	6.243	6.308	6.563	6.617	6.59	6.554	6.427	6.417
5.948	6.102	6.286	6.509	6.482	6.385	6.32	6.238	6.338
5.892	6.182	6.299	6.549	6.505	6.589	6.677	6.449	6.368
5.638	6.083	6.124	6.269	6.313	6.256	6.266	6.294	6.421
6.111	5.97	6.012	6.146	6.236	6.364	6.426	6.387	6.335
5.971	6.094	6.204	6.477	6.599	6.743	6.819	6.631	6.575
6.256	6.44	6.492	7.204	7.672	7.491	7.35	6.966	6.588
6.547	7.05	7.191	7.467	7.65	7.545	7.306	6.844	6.479
7.047	7.1	7.071	7.39	7.531	7.42	7.263	6.951	6.541
7.031	7.066	7.192	7.54	7.814	7.904	7.802	7.66	7.199
6.694	6.931	7.049	7.519	7.396	7.196	7.305	7.041	6.717
6.892	7.407	7.667	8.056	7.843	7.52	7.552	7.273	7.016
7.28	7.997	8.136	8.274	7.937	8.065	8.156	7.781	7.323
7.622	7.93	8.012	8.06	7.963	7.973	7.958	7.922	7.439
6.683	6.937	7.011	6.976	6.892	7.074	7.183	7.125	6.808
6.425	6.388	6.483	6.587	6.655	6.849	7	7.111	6.835
6.523	6.783	7.031	7.328	7.527	7.713	7.792	7.833	7.714
6.564	6.82	7.036	7.206	7.452	7.731	7.726	7.591	7.7
6.119	6.446	6.521	6.797	7.215	7.523	7.614	7.626	7.502
5.92	6.5	6.427	6.659	6.894	7.291	7.451	7.477	7.604
6.238	6.332	6.377	6.673	6.781	7.146	7.31	7.349	7.569
5.557	5.71	6.031	6.536	6.604	6.679	6.821	7.078	7.299
5.455	5.757	5.957	6.227	6.342	6.52	6.707	6.973	7.197
4.754	4.974	5.068	5.048	5.161	5.385	5.619	6.081	6.489
4.572	4.839	4.899	4.914	4.994	5.473	5.744	5.996	6.338
4.113	4.154	4.173	4.246	4.239	4.732	5.231	5.872	6.174
3.25	3.345	3.425	3.61	3.746	4.225	4.781	5.494	6.124
3.462	3.54	3.64	3.695	3.809	4.155	4.519	5.15	5.719
3.807	3.966	4.044	4.334	4.635	5.199	5.632	6.053	6.149
4.203	4.347	4.377	4.51	4.972	5.493	5.776	6.123	6.529
4.95	5.125	5.12	5.465	6.057	6.49	6.66	6.803	6.827
5.206	5.33	5.311	5.824	6.063	6.502	6.772	6.911	6.946
4.456	4.422	4.4	4.819	5.273	5.55	5.702	5.933	6.298
4.473	4.52	4.646	4.987	5.274	5.505	5.701	5.953	5.97
4.057	4.286	4.374	4.482	4.603	5.055	5.188	5.759	5.96
4.064	4.281	4.346	4.504	4.752	5.067	5.275	5.84	5.846
3.33	3.505	3.702	4.035	4.293	4.835	5.043	5.494	5.966
3.024	3.282	3.381	3.784	4.183	4.843	5.294	5.762	6.399
3.25	3.288	3.441	3.819	4.24	4.834	5.229	5.682	6.256
3.42	3.64	3.925	4.466	5.004	5.515	5.783	6.039	6.216
3.285	3.441	3.669	4.12	4.497	5.145	5.549	5.831	6.209
3.503	3.666	3.81	4.211	4.561	4.998	5.337	5.726	6.138
3.675	3.909	4.108	4.69	5.171	5.482	5.678	5.944	6.244
3.555	3.702	3.86	4.432	4.878	5.365	5.718	5.969	6.401
4.346	4.418	4.508	5.02	5.37	5.674	5.894	6.13	6.513
4.482	4.524	4.74	5.31	5.632	5.864	5.969	6.09	6.623
4.54	4.654	4.818	5.186	5.479	5.811	5.976	6.105	6.448
4.793	4.826	4.918	5.264	5.363	5.666	5.881	5.99	6.336
4.927	5.081	5.222	5.485	5.591	5.898	6.044	6.119	6.411
5.437	5.621	5.768	5.965	6.058	6.264	6.351	6.339	6.446
5.592	5.734	5.901	6.16	6.391	6.609	6.657	6.62	6.554
6.083	6.336	6.534	6.913	6.962	6.787	6.709	6.655	6.581
6.013	6.174	6.388	6.684	6.719	6.648	6.62	6.608	6.574
6.531	6.861	7.011	7.105	7.048	6.801	6.64	6.659	6.781
7.454	7.556	7.62	7.812	7.593	7.042	6.868	6.76	6.793
8.289	8.391	8.357	8.655	8.664	8.167	7.878	7.588	7.336
8.636	8.706	8.68	8.74	8.465	7.711	7.302	7.061	7.037
7.126	7.039	7.248	7.776	7.577	6.934	6.685	6.624	6.764
7.147	7.36	7.409	7.691	6.985	6.825	6.931	6.842	6.891
7.488	7.433	7.623	8.067	7.425	6.727	6.721	6.669	6.786
7.292	7.446	7.572	7.586	7.112	6.719	6.704	6.631	6.792
7.518	7.623	7.664	7.471	7.025	6.731	6.748	6.77	7.004
7.578	7.654	7.587	7.481	6.989	6.761	6.799	6.847	7.089
8.513	8.654	8.64	8.557	8.289	7.819	7.695	7.549	7.486
8.727	8.902	9.008	8.99	8.941	8.28	8.156	8.03	7.894
7.664	7.948	8.29	8.51	8.73	8.019	7.981	7.891	7.834
7.655	7.688	7.757	8.21	8.683	8.185	8.269	8.11	7.84
7.553	7.738	7.743	8.263	8.652	8.42	8.454	8.279	8.009
9.205	9.232	9.296	9.729	9.74	8.755	8.513	8.403	8.275
6.056	6.075	6.321	7.696	8.292	7.946	8.008	7.904	7.89
7.117	7.705	8.085	8.016	7.859	7.72	7.851	7.797	7.746
7.452	7.519	7.627	7.83	7.512	7.264	7.406	7.519	7.699
6.77	7.002	7.179	7.233	7.128	7.178	7.235	7.172	7.427
5.533	5.674	5.839	6.02	6.15	6.708	6.977	7.238	7.479
4.977	5.327	5.55	5.765	5.919	6.256	6.588	7.06	7.487
5.266	5.483	5.658	5.863	6.164	6.696	6.999	7.402	7.933
5.149	5.407	5.595	6.201	6.86	7.587	7.794	7.967	8.129
4.94	5.144	5.282	5.6	6.071	6.844	7.202	7.558	7.966
5.667	5.831	6.036	6.325	6.849	7.21	7.478	7.703	7.868
6.003	6.131	6.34	6.896	7.261	7.654	7.833	7.935	8.03
5.98	6.24	6.503	7.084	7.461	7.7	7.889	8.023	8.089
6.31	6.465	6.693	7.226	7.621	8.029	8.19	8.279	8.372
5.36	5.488	5.626	5.863	6.292	6.96	7.24	7.548	7.927
5.125	5.457	5.68	6.151	6.568	7.228	7.492	7.817	8.219
5.056	5.164	5.292	5.632	6.101	6.681	7.042	7.423	7.798
4.525	4.632	4.789	5.106	5.558	6.392	6.901	7.45	7.885
4.672	4.885	5.095	5.609	6.111	6.763	7.092	7.434	7.797
4.778	4.891	5.052	5.498	6.04	6.652	6.975	7.329	7.694
4.696	4.795	4.994	5.428	6.014	6.581	6.875	7.279	7.687
5.244	5.48	5.615	6.115	6.661	7.252	7.459	7.682	7.894
5.296	5.365	5.475	5.932	6.356	6.915	7.168	7.491	7.806
5.102	5.163	5.268	5.653	6.077	6.685	6.97	7.386	7.845
4.978	5.09	5.168	5.503	5.827	6.432	6.67	7.109	7.659
5.068	5.093	5.179	5.466	5.731	6.268	6.543	7.013	7.558
4.745	4.851	4.979	5.202	5.458	6.025	6.274	6.735	7.459
4.412	4.456	4.505	4.683	4.882	5.394	5.658	6.014	7.089
4.263	4.344	4.448	4.626	4.84	5.354	5.665	6.115	6.834
4.566	4.657	4.813	5.145	5.548	6.172	6.459	6.911	7.375
4.523	4.651	4.785	5.07	5.516	6.113	6.456	6.98	7.445
4.507	4.554	4.655	4.911	5.407	5.972	6.382	6.91	7.424
4.442	4.576	4.718	5.051	5.511	6.071	6.403	6.92	7.449
4.901	5.004	5.109	5.374	5.701	6.134	6.384	6.842	7.391
4.956	5.01	5.118	5.39	5.636	6.055	6.291	6.729	7.27
5.248	5.358	5.481	5.811	6.085	6.41	6.627	6.989	7.384
5.381	5.488	5.655	6.026	6.262	6.471	6.651	6.891	7.25
5.743	5.853	6.036	6.337	6.568	6.747	6.855	7.056	7.33
6.111	6.164	6.367	6.713	7.005	7.205	7.287	7.419	7.547
5.672	5.968	6.194	6.576	6.869	7.068	7.183	7.282	7.513
5.822	6.129	6.323	6.63	6.921	7.095	7.248	7.454	7.681
6.07	6.346	6.532	6.858	7.118	7.279	7.42	7.611	7.815
6.226	6.415	6.555	6.919	7.159	7.435	7.578	7.762	7.918
6.564	6.509	6.619	6.968	7.324	7.576	7.693	7.846	8.02
6.026	6.247	6.505	7.087	7.524	7.78	7.831	7.928	8.102
6.442	6.604	6.812	7.362	7.779	7.959	8.006	8.128	8.268
6.606	6.946	7.246	7.746	8.199	8.291	8.341	8.314	8.451
6.554	6.762	7.005	7.617	8.198	8.262	8.29	8.287	8.386
7.875	7.757	7.7	7.954	8.302	8.258	8.227	8.205	8.203
7.997	8.148	8.324	8.659	8.658	8.452	8.3	8.294	8.429
8.655	8.837	8.937	9.503	9.657	9.246	9.072	8.826	8.662
8.989	9.064	9.173	9.581	9.757	9.251	8.863	8.633	8.623
8.628	9.247	9.552	9.857	10.329	9.794	9.327	9.006	8.864
9.507	9.488	9.557	9.73	9.796	9.34	8.873	8.672	8.717
9.627	9.653	9.672	9.905	9.971	9.582	9.201	8.982	8.967
9.589	9.647	9.708	9.831	9.773	9.49	9.122	8.891	8.902
9.584	9.673	9.783	9.93	9.91	9.625	9.244	9.076	9.123
9.778	9.779	9.795	9.777	9.612	9.267	8.911	8.759	8.87
8.977	9.126	9.194	9.251	9.109	8.709	8.566	8.499	8.627
9.136	9.22	9.402	9.628	9.485	9.021	8.82	8.738	8.821
10.107	10.101	10.025	10.188	10.213	9.558	9.284	9.103	8.988
10.218	10.336	10.39	10.52	10.479	9.779	9.451	9.223	9.157
