81.0107	8.38	8.63	8.728	8.964
81.0114	7.63	8.13	7.815	8.333
81.0121	8.13	8.38	7.909	8.367
81.0128	8.13	8.38	8.001	8.363
81.0204	8.13	8.25	7.997	8.226
81.0212	8.13	8.13	8.174	8.345
81.0218	8.13	8.13	8.479	8.495
81.0225	8.63	8.63	8.456	8.49
81.0304	8.63	8.5	8.5	8.432
81.0311	8.13	8.13	8.522	8.245
81.0318	7.63	7.5	8.092	7.514
81.0325	9	8.25	8.254	7.437
81.0401	7.38	7.31	6.902	7
81.0408	6.88	7.19	6.751	6.843
81.0415	6.88	7.31	6.7	6.859
81.0422	6.5	7.13	6.4	6.755
81.043	6.69	7.38	6.259	6.764
81.0506	6.75	7.56	6.398	6.785
81.0513	6.5	7.5	6.749	7.106
81.052	7.06	7.69	7.068	7.404
81.0527	7.06	7.69	7.286	7.528
81.0603	7.06	7.56	7.152	7.451
81.061	7.06	7.5	7.185	7.451
81.0617	6.88	7.38	7.167	7.46
81.0624	7.19	7.69	7.015	7.387
81.0701	6.88	7.25	6.748	7.203
81.0708	6.81	7.38	6.79	7.187
81.0715	6.63	7.19	6.758	7.187
81.0722	7.06	7.31	6.614	7.141
81.0729	7	7.25	6.591	7.12
81.0805	6.63	7.06	6.802	7.168
81.0812	7	7.38	6.832	7.201
81.0819	6.88	7.38	6.867	7.222
81.0826	6.94	7.31	6.874	7.271
81.0902	7.06	7.31	7.105	7.297
81.0909	7.31	7.44	7.196	7.293
81.0916	7.31	7.31	7.246	7.289
81.0924	7.25	7.5	7.153	7.199
81.093	7.25	7.63	6.919	7.147
81.1007	6.63	7.31	6.81	7.155
81.1014	6.69	7.38	6.707	7.164
81.1021	6.81	7.38	6.548	7.101
81.1028	6.63	6.88	6.478	7.072
81.1104	6.44	7.06	6.662	7.098
81.1111	6.81	7	6.696	7.116
81.1118	6.94	7.19	6.738	7.146
81.1125	6.5	6.81	6.989	7.225
81.1202	7.25	7.19	7.163	7.149
81.1209	6.39	6.39	6.917	6.779
81.1216	6.69	6.69	6.691	6.587
81.1223	6.75	6.88	6.71	6.55
81.1225	6.38	6.69	6.512	6.518
82.0106	6.13	6.44	6.135	6.423
82.0113	6.19	6.44	6.03	6.399
82.012	6.06	6.44	6.075	6.406
82.0127	6.19	6.63	6.11	6.415
82.0203	6	6.31	6.167	6.367
82.021	6	6.38	6.166	6.376
82.0217	6.06	6.31	6.177	6.387
82.0224	6	6.38	6.201	6.409
82.0303	6.31	6.38	6.347	6.409
82.031	6.44	6.44	6.441	6.441
82.0317	6.88	6.81	6.553	6.462
82.0324	6.5	6.5	6.548	6.428
82.0331	6.69	6.75	6.314	6.415
82.0407	6.69	6.69	6.438	6.503
82.0414	6.75	6.75	6.532	6.543
82.0421	6.75	6.75	6.682	6.62
82.0428	6.81	7	6.719	6.686
82.0506	6.81	6.88	6.673	6.669
82.0512	6.69	6.88	6.696	6.704
82.0519	6.88	6.94	6.768	6.807
82.0526	7	7.13	6.99	7.023
82.0602	7	7.06	7.009	7.085
82.0609	6.94	7	7.035	7.114
82.0616	7.06	7.06	7.02	7.112
82.0623	7.06	7.13	7.112	7.204
82.063	7.31	7.31	7.068	7.195
82.0707	6.94	7.13	6.946	7.169
82.0714	7	7.25	6.879	7.169
82.0721	6.69	7.13	6.866	7.17
82.0728	6.75	7.13	6.741	7.052
82.0804	6.75	7.13	6.711	7.033
82.0811	7	7.31	6.757	7.076
82.0818	6.63	7.25	6.982	7.195
82.0825	7.06	7.38	6.946	7.218
82.0901	7	7.31	7.063	7.226
82.0908	7.13	7.25	7.113	7.237
82.0916	7.13	7.25	7.121	7.251
82.0922	7.19	7.31	7.097	7.164
82.0929	6.94	7.25	6.894	7.053
82.1006	6.88	7.19	6.675	6.993
82.1013	6.38	6.63	6.695	6.996
82.102	6.63	6.75	6.678	6.98
82.1027	6.81	6.88	6.493	6.904
82.1104	6.63	6.88	6.534	6.894
82.111	6.75	7	6.62	6.935
82.1117	6.88	7.13	6.716	7.003
82.1124	6.81	7	6.815	7.046
82.1201	7.44	7.25	6.943	7.061
82.1208	7	6.75	7.013	7.026
82.1215	7.25	6.94	7.045	6.965
82.1222	7.13	7	6.985	6.869
82.1227	7.25	7.06	6.701	6.795
83.0105	6.63	6.63	6.502	6.696
83.0112	6.25	6.25	6.326	6.455
83.0119	6.25	6.25	6.266	6.399
83.0126	6.56	6.56	6.386	6.467
83.0202	6.63	6.56	6.485	6.565
83.0209	6.56	6.63	6.512	6.602
83.0216	6.56	6.63	6.579	6.648
83.0223	6.5	6.63	6.687	6.689
83.0302	6.88	6.63	6.72	6.7
83.0309	6.81	6.81	6.797	6.74
83.0316	6.81	6.63	6.871	6.769
83.0323	6.75	6.63	6.915	6.755
83.033	6.63	6.5	6.638	6.625
83.0406	6.25	6.31	6.398	6.428
83.0413	6.06	6.19	6.313	6.375
83.042	6.13	6.19	6.194	6.299
83.0427	6.06	6.13	6.08	6.209
83.0504	6.06	6.19	6.07	6.218
83.0511	6.06	6.13	6.083	6.221
83.0518	6.13	6.19	6.165	6.257
83.0525	6.25	6.25	6.216	6.294
83.0601	6.69	6.56	6.296	6.378
83.0608	6.5	6.5	6.354	6.437
83.0615	6.31	6.38	6.398	6.483
83.0622	6.38	6.38	6.409	6.501
83.0629	6.5	6.5	6.353	6.469
83.0706	6.44	6.5	6.343	6.464
83.0713	6.38	6.44	6.316	6.467
83.072	6.38	6.5	6.29	6.474
83.0727	6.44	6.5	6.293	6.486
83.0803	6.5	6.56	6.363	6.505
