196602     -6.05664     -5.41558     -4.70933      2.22455      2.21951      2.25478
196603     -6.05616     -5.40968     -4.70483      2.23596      2.23158      2.26414
196604     -6.06582     -5.41633     -4.70420      2.24037      2.23568      2.26703
196701     -6.05549     -5.41128     -4.69693      2.25506      2.24513      2.27527
196702     -6.05692     -5.41017     -4.69145      2.26802      2.25405      2.28357
196703     -6.06184     -5.41578     -4.68966      2.27104      2.25559      2.28719
196704     -6.05555     -5.41343     -4.68744      2.28014      2.26562      2.29551
196801     -6.04520     -5.39777     -4.67642      2.29278      2.27905      2.30748
196802     -6.03453     -5.39278     -4.66753      2.30203      2.28445      2.31398
196803     -6.02163     -5.38129     -4.65748      2.30931      2.29030      2.31949
196804     -6.02638     -5.38768     -4.65691      2.31388      2.29607      2.32565
196901     -6.02310     -5.38266     -4.65168      2.31814      2.29906      2.32737
196902     -6.02469     -5.38218     -4.64840      2.31902      2.30064      2.32916
196903     -6.02990     -5.38418     -4.64585      2.32433      2.30941      2.33918
196904     -6.02796     -5.38288     -4.64067      2.32474      2.31572      2.34507
197001     -6.01762     -5.37686     -4.63609      2.32396      2.32060      2.34877
197002     -6.01633     -5.38029     -4.63817      2.33637      2.33156      2.35841
197003     -6.01335     -5.37854     -4.63430      2.35599      2.35031      2.37365
197004     -6.01592     -5.37903     -4.63475      2.35086      2.34090      2.36157
197101     -6.02180     -5.38194     -4.63446      2.37260      2.36117      2.37726
197102     -6.02986     -5.38529     -4.63447      2.36930      2.36443      2.37873
197103     -6.04136     -5.39379     -4.63772      2.37449      2.36754      2.37990
197104     -6.04344     -5.39508     -4.63475      2.37453      2.36784      2.37890
197201     -6.05323     -5.39752     -4.63343      2.38332      2.38437      2.39346
197202     -6.03206     -5.38093     -4.62327      2.38723      2.38775      2.39552
197203     -6.03244     -5.37332     -4.61681      2.38664      2.39141      2.39866
197204     -6.03090     -5.36065     -4.60293      2.38942      2.39876      2.40742
197301     -6.04179     -5.35762     -4.60212      2.38109      2.40224      2.41551
197302     -6.06822     -5.37301     -4.60640      2.35254      2.38617      2.40765
197303     -6.07073     -5.37275     -4.60536      2.32832      2.37750      2.40461
197304     -6.08938     -5.38528     -4.61150      2.31266      2.36325      2.39964
197401     -6.10257     -5.41198     -4.62590      2.28965      2.32678      2.38134
197402     -6.10826     -5.41631     -4.62552      2.29620      2.32428      2.38302
197403     -6.08924     -5.41413     -4.62522      2.30295      2.32358      2.38278
197404     -6.10159     -5.42858     -4.63036      2.29132      2.32300      2.38256
197501     -6.09733     -5.42891     -4.62933      2.30674      2.33478      2.39058
197502     -6.08322     -5.41743     -4.61814      2.31995      2.34379      2.39769
197503     -6.09178     -5.42017     -4.62065      2.31160      2.33759      2.39419
197504     -6.09469     -5.42259     -4.61911      2.31686      2.34284      2.39533
197601     -6.07617     -5.40603     -4.60701      2.33912      2.36194      2.40550
197602     -6.06507     -5.39796     -4.60385      2.35993      2.38029      2.41685
197603     -6.05726     -5.39276     -4.59739      2.36849      2.38486      2.41783
197604     -6.05137     -5.38367     -4.58691      2.38233      2.39603      2.42264
197701     -6.03516     -5.37839     -4.58146      2.38604      2.39811      2.42154
197702     -6.03878     -5.38513     -4.58602      2.38565      2.39557      2.41659
197703     -6.05270     -5.38865     -4.58192      2.38796      2.40009      2.41704
197704     -6.05050     -5.37594     -4.57340      2.39525      2.40889      2.42294
197801     -6.04451     -5.37364     -4.56728      2.39313      2.41739      2.42861
197802     -6.05964     -5.37354     -4.56094      2.36640      2.40041      2.41802
197803     -6.06156     -5.37226     -4.55896      2.36284      2.40025      2.41856
197804     -6.05676     -5.36008     -4.55396      2.36529      2.40462      2.42187
197901     -6.06098     -5.36469     -4.55107      2.35440      2.40146      2.42451
197902     -6.06283     -5.37427     -4.55378      2.35745      2.38899      2.42002
197903     -6.05056     -5.37373     -4.55500      2.36040      2.37223      2.40675
197904     -6.03815     -5.37083     -4.55008      2.36715      2.37141      2.40626
198001     -6.03086     -5.38067     -4.55421      2.37804      2.36280      2.40031
198002     -6.04581     -5.39373     -4.56533      2.38269      2.36516      2.40102
198003     -6.05959     -5.39919     -4.56301      2.37492      2.36720      2.40143
198004     -6.06995     -5.40055     -4.55874      2.37246      2.37059      2.40475
198101     -6.06855     -5.40165     -4.56385      2.37612      2.36761      2.40250
198102     -6.06904     -5.40337     -4.56160      2.38638      2.37411      2.40400
198103     -6.07599     -5.40649     -4.56380      2.39458      2.38650      2.40861
198104     -6.07377     -5.40923     -4.56527      2.40416      2.39360      2.40840
198201     -6.07978     -5.41349     -4.56604      2.41365      2.41245      2.42266
198202     -6.07168     -5.41119     -4.56439      2.41702      2.42396      2.42605
198203     -6.06357     -5.40826     -4.56274      2.43131      2.42976      2.42770
198204     -6.05841     -5.40382     -4.55654      2.44389      2.43958      2.42997
198301     -6.05098     -5.39662     -4.55140      2.45516      2.45505      2.43460
198302     -6.04870     -5.38734     -4.54087      2.44832      2.44893      2.42905
198303     -6.03319     -5.37706     -4.53329      2.45346      2.44811      2.42511
198304     -6.03630     -5.37190     -4.52724      2.45674      2.45589      2.42764
198401     -6.04381     -5.37384     -4.52707      2.44879      2.45655      2.42847
198402     -6.03276     -5.35970     -4.51663      2.45331      2.46133      2.42823
198403     -6.02765     -5.36067     -4.51474      2.45387      2.46635      2.42837
198404     -6.02974     -5.36178     -4.51009      2.45955      2.47076      2.43023
198501     -6.02539     -5.35559     -4.49883      2.46799      2.48004      2.43573
198502     -6.01573     -5.35227     -4.49481      2.47398      2.47838      2.43370
198503     -6.00987     -5.34662     -4.48756      2.48008      2.48442      2.43379
198504     -6.00576     -5.33986     -4.47877      2.47956      2.48636      2.43311
