R1	R2	R3	R6	R12	R24	R36	R60	R120
5.51	5.666	5.705	5.737	5.879	6.25	6.46	6.785	7.347
5.489	5.527	5.554	5.646	5.889	6.286	6.479	6.757	7.274
5.201	5.456	5.63	5.863	6.105	6.518	6.722	7.013	7.604
4.984	5.283	5.549	6.102	6.644	7.205	7.5	7.86	8.355
5.597	5.633	5.788	6.28	6.911	7.632	7.882	8.089	8.484
5.397	5.596	5.782	6.151	6.717	7.369	7.687	7.96	8.403
5.546	5.869	6.073	6.451	6.93	7.439	7.842	8.158	8.752
5.805	6.137	6.321	6.655	7.232	7.77	8.152	8.427	9.057
6.484	6.566	6.738	7.23	7.843	8.447	8.846	9.083	9.648
4.364	4.968	5.385	6.18	6.906	7.634	8.081	8.414	8.982
3.8	4.763	5.426	6.362	7.032	7.637	8.047	8.442	9.069
3.88	5.133	5.808	6.428	7.161	7.695	7.992	8.365	8.942
4.93	5.533	5.825	6.164	6.689	7.138	7.38	7.744	8.319
5.267	5.555	5.717	6.035	6.58	7.033	7.256	7.6	8.257
5.73	5.792	5.867	6.235	6.814	7.302	7.612	8.028	8.663
5.768	5.939	6.092	6.534	7.071	7.637	7.905	8.297	8.952
6.083	6.406	6.63	7.066	7.575	8.084	8.299	8.627	9.2
6.128	6.517	6.71	6.953	7.437	7.89	8.056	8.321	8.819
6.524	6.853	7.041	7.336	7.8	8.271	8.392	8.625	9.125
7.544	7.326	7.368	7.805	8.192	8.559	8.645	8.834	9.173
7.073	7.293	7.447	7.739	8.034	8.279	8.343	8.496	8.822
6.957	7.319	7.499	7.72	7.919	8.08	8.103	8.256	8.59
7.084	7.716	8.013	8.235	8.492	8.658	8.666	8.762	8.941
7.196	7.924	8.281	8.547	8.873	8.951	8.952	8.989	8.96
8.066	8.346	8.506	8.688	8.879	8.929	8.9	8.899	8.793
8.075	8.664	8.894	8.956	9.283	9.322	9.266	9.225	9.056
9.043	8.991	9.053	9.279	9.49	9.454	9.417	9.282	9
8.63	8.613	8.65	8.814	9.038	9.076	9.019	8.954	8.854
8.519	8.716	8.769	8.67	8.746	8.605	8.608	8.555	8.47
8.254	8.203	8.157	8.038	8.05	7.899	7.928	7.955	8.019
7.934	7.966	7.902	7.635	7.633	7.372	7.463	7.479	7.785
7.501	8	8.133	8.049	8.237	8.196	8.235	8.173	8.156
7.588	8.014	8.139	8.178	8.352	8.247	8.323	8.242	8.193
7.842	7.954	7.936	7.787	7.797	7.716	7.785	7.77	7.867
7.938	7.8	7.745	7.656	7.613	7.574	7.678	7.694	7.82
6.651	7.507	7.789	7.7	7.742	7.728	7.819	7.787	7.915
7.627	7.843	7.901	7.93	7.998	8.159	8.199	8.246	8.359
7.74	7.922	7.977	7.951	8.009	8.273	8.307	8.392	8.459
8.083	7.987	7.983	8.071	8.224	8.502	8.524	8.55	8.549
7.666	7.84	7.988	8.214	8.471	8.808	8.857	8.906	8.924
7.652	7.842	7.938	7.969	8.094	8.327	8.394	8.483	8.506
7.613	7.845	7.925	7.876	7.963	8.107	8.177	8.284	8.359
7.596	7.633	7.636	7.573	7.641	7.801	7.886	8.054	8.306
7.537	7.511	7.526	7.584	7.74	8.005	8.159	8.467	8.827
6.959	7.25	7.368	7.415	7.663	7.91	8.066	8.405	8.787
6.709	7.179	7.298	7.263	7.352	7.64	7.847	8.178	8.645
6.659	7.005	7.178	7.251	7.269	7.501	7.619	7.873	8.316
5.867	6.413	6.621	6.641	6.842	7.122	7.334	7.651	8.103
5.953	6.208	6.308	6.345	6.531	6.976	7.199	7.597	8.069
